"status","spc_latin","spc_common","boroname","latitude","longitude"
"Alive","Acer platanoides","Norway maple","Bronx","40.85813684","-73.8902212"
"Alive","Quercus rubra","northern red oak","Bronx","40.85610937","-73.89101204"
"Alive","Zelkova serrata","Japanese zelkova","Bronx","40.85798472","-73.88992903"
"Alive","Zelkova serrata","Japanese zelkova","Bronx","40.85260429","-73.90040504"
"Alive","Acer saccharinum","silver maple","Bronx","40.81561367","-73.80765627"
"Alive","Juniperus virginiana","eastern redcedar","Bronx","40.90417041","-73.84611366"
"Alive","Prunus serotina","black cherry","Bronx","40.85408549","-73.89416793"
"Alive","Styphnolobium japonicum","Sophora","Bronx","40.85815359","-73.88864419"
"Alive","Quercus alba","white oak","Bronx","40.83900417","-73.87001916"
"Alive","Pyrus calleryana","Callery pear","Bronx","40.84773807","-73.90694389"
"Alive","Carpinus caroliniana","American hornbeam","Bronx","40.85732891","-73.89803944"
"Alive","Carpinus caroliniana","American hornbeam","Bronx","40.83643042","-73.86699521"
"Alive","Tilia cordata","littleleaf linden","Bronx","40.84915106","-73.89594394"
"Alive","Tilia cordata","littleleaf linden","Bronx","40.85817154","-73.89447019"
"Alive","Pyrus calleryana","Callery pear","Bronx","40.83327027","-73.89294085"
"Alive","Ulmus parvifolia","Chinese elm","Bronx","40.84959393","-73.8899873"
"Alive","Crataegus","hawthorn","Bronx","40.8314093","-73.92886274"
"Alive","Crataegus","hawthorn","Bronx","40.8547117","-73.8895055"
"Alive","Tilia cordata","littleleaf linden","Bronx","40.85823774","-73.89041499"
"Alive","Ulmus parvifolia","Chinese elm","Bronx","40.85302242","-73.88312036"
"Alive","Zelkova serrata","Japanese zelkova","Bronx","40.85257942","-73.90033777"
"Alive","Quercus velutina","black oak","Bronx","40.84919783","-73.89022334"
"Alive","Quercus rubra","northern red oak","Bronx","40.85325737","-73.89182327"
"Alive","Fraxinus pennsylvanica","green ash","Bronx","40.85777478","-73.88929423"
"Alive","Fraxinus pennsylvanica","green ash","Bronx","40.85278533","-73.88520699"
"Alive","Betula nigra","river birch","Bronx","40.85496089","-73.89154252"
"Alive","Acer platanoides","Norway maple","Bronx","40.87457493","-73.88154866"
"Alive","Pyrus calleryana","Callery pear","Bronx","40.90322179","-73.8469286"
"Alive","Fraxinus pennsylvanica","green ash","Bronx","40.85773867","-73.8838283"
"Alive","Fraxinus pennsylvanica","green ash","Bronx","40.85152768","-73.9038345"
"Alive","Fraxinus pennsylvanica","green ash","Bronx","40.84923414","-73.89034035"
"Alive","Acer platanoides","Norway maple","Bronx","40.84626729","-73.82323935"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.84620586","-73.9210253"
"Alive","Acer saccharinum","silver maple","Bronx","40.8142028","-73.80731409"
"Alive","Acer platanoides","Norway maple","Bronx","40.84675095","-73.82363076"
"Alive","Quercus rubra","northern red oak","Bronx","40.85390287","-73.89122236"
"Alive","Zelkova serrata","Japanese zelkova","Bronx","40.8469447","-73.91814302"
"Alive","Acer platanoides","Norway maple","Bronx","40.85313649","-73.88696675"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.84800501","-73.89334744"
"Alive","Tilia cordata","littleleaf linden","Bronx","40.84297984","-73.88369227"
"Alive","Tilia cordata","littleleaf linden","Bronx","40.83780048","-73.86919466"
"Alive","Liquidambar styraciflua","sweetgum","Bronx","40.85255754","-73.90093342"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.85607392","-73.8841639"
"Alive","Fraxinus pennsylvanica","green ash","Bronx","40.85677469","-73.89363616"
"Alive","Acer platanoides","Norway maple","Bronx","40.8523673","-73.89400724"
"Alive","Liriodendron tulipifera","tulip-poplar","Bronx","40.83375821","-73.89228407"
"Alive","Tilia americana","American linden","Bronx","40.85101195","-73.89712056"
"Alive","Prunus","cherry","Bronx","40.85267826","-73.89496396"
"Alive","Tilia americana","American linden","Bronx","40.8574844","-73.88939509"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.84282962","-73.90001803"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.84710002","-73.91705608"
"Alive","Tilia americana","American linden","Bronx","40.85040103","-73.89191218"
"Alive","Gleditsia triacanthos var. inermis","honeylocust","Bronx","40.89300829","-73.8554922"
"Alive","Acer platanoides","Norway maple","Bronx","40.84967485","-73.8925037"
"Alive","Acer platanoides","Norway maple","Bronx","40.85510388","-73.89104554"
"Alive","Styphnolobium japonicum","Sophora","Bronx","40.85252544","-73.88337005"
"Alive","Acer campestre","hedge maple","Bronx","40.85233928","-73.89939007"
"Alive","Acer platanoides","Norway maple","Bronx","40.88949408","-73.85031461"
"Alive","Acer platanoides","Norway maple","Bronx","40.85656376","-73.88563809"
"Alive","Quercus shumardii","Schumard's oak","Bronx","40.8568939","-73.88551169"
"Alive","Styphnolobium japonicum","Sophora","Bronx","40.85501336","-73.88666673"
"Alive","Styphnolobium japonicum","Sophora","Bronx","40.8580136","-73.88773014"
"Alive","Quercus palustris","pin oak","Bronx","40.85436263","-73.89927759"
"Alive","Acer rubrum","red maple","Bronx","40.85095651","-73.90375275"
"Alive","Tilia cordata","littleleaf linden","Bronx","40.85147212","-73.90356222"
"Alive","Tilia tomentosa","silver linden","Bronx","40.83711124","-73.86917116"
"Alive","Pyrus calleryana","Callery pear","Bronx","40.90321375","-73.84683077"
"Alive","Pyrus calleryana","Callery pear","Bronx","40.85943012","-73.88553037"
"Alive","Ailanthus altissima","tree of heaven","Bronx","40.8556329","-73.88453718"
"Alive","Aesculus hippocastanum","horse chestnut","Bronx","40.86955009","-73.90199436"
"Alive","Tilia cordata","littleleaf linden","Bronx","40.8518951","-73.88368674"
"Alive","Tilia cordata","littleleaf linden","Bronx","40.85017654","-73.88434599"
"Alive","Styphnolobium japonicum","Sophora","Bronx","40.83706588","-73.86826034"
